グループ名,勢力,URL,最終確認日
いぎなり東北産,STARDUST,https://avexnet.jp/,2026-08-26
いぎなり東北産,STARDUST,https://avexnet.jp/contents/IGNRT-WORK-0001/profile,2026-08-26
いぎなり東北産,STARDUST,https://www.stacommu.jp/ja/videos/episodes/6PnAVDLx6Zufqt9TMt93rp,2026-08-26
夜光性アミューズ,HEROINES,https://heroines.jp/news/public/_/upflkmy5vsc1xfkp.html,2026-08-26
夜光性アミューズ,HEROINES,https://heroines.jp/news/public/_/lzfozenibr57qn99.html,2026-08-26
夜光性アミューズ,HEROINES,https://heroines.jp/news/public/_/p9t1hvg2rdfgkq9e.html,2026-08-26
夜光性アミューズ,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
ドレスコード,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
ドレスコード,HEROINES,https://heroines.jp/news/public/_/4rjh25e2l3cozyto.html,2026-08-26
MEGAFON,HEROINES,https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html,2026-08-26
MEGAFON,HEROINES,https://x.com/MEGAFON_idol,2026-08-26
MEGAFON,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
iON!,HEROINES,https://heroines.jp/static/service/,2026-08-26
iON!,HEROINES,https://heroines.jp/news/public/_/o92mgh2lk7je6xzd.html,2026-08-26
iON!,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
ばってん少女隊,STARDUST,https://battengirls.com/,2026-08-26
ばってん少女隊,STARDUST,https://www.stardust.co.jp/talent/,2026-08-26
ばってん少女隊,STARDUST,https://www.youtube.com/@BATTENGIRLS,2026-08-26
フルコース,HEROINES,https://www.tp-e.jp/talent/fullcourse/,2026-08-26
フルコース,HEROINES,https://twinplanet.co.jp/project/4872/,2026-08-26
フルコース,HEROINES,https://www.tp-e.jp/news/fullcourse-jyoho/,2026-08-26
フルコース,HEROINES,https://prtimes.jp/main/html/rd/p/000000926.000025517.html,2026-08-26
フルコース,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
ラストシーン,HEROINES,https://x.com/LASTSCENE_idol,2026-08-26
ラストシーン,HEROINES,https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html,2026-08-26
ラストシーン,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
GILTY x GILTY,HEROINES,https://www.imaginate.jp/artist/,2026-08-26
GILTY x GILTY,HEROINES,https://heroines.jp/,2026-08-26
GILTY x GILTY,HEROINES,https://www.imaginate.jp/artist/gilty-x-gilty/,2026-08-26
GILTY x GILTY,HEROINES,https://heroines.jp/news/public/_/3yusahrqv36qk0xr.html,2026-08-26
i-COL,HEROINES,https://www.imaginate.jp/artist/i-col/,2026-08-26
i-COL,HEROINES,https://heroines.jp/,2026-08-26
i-COL,HEROINES,https://heroines.jp/news/public/_/3yusahrqv36qk0xr.html,2026-08-26
AdamLilith,HEROINES,https://www.imaginate.jp/artist/adamlilith/,2026-08-26
AdamLilith,HEROINES,https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html,2026-08-26
AdamLilith,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
TENRIN,HEROINES,https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html,2026-08-26
TENRIN,HEROINES,https://x.com/TENRIN_official,2026-08-26
TENRIN,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
LADYBABY,HEROINES,https://x.com/LADYBABY_JP,2026-08-26
LADYBABY,HEROINES,https://heroines.jp/,2026-08-26
LADYBABY,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
chuLa,HEROINES,https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html,2026-08-26
chuLa,HEROINES,https://x.com/chuLa_official,2026-08-26
chuLa,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
アキシブproject,HEROINES,https://akishibup.net/,2026-08-26
アキシブproject,HEROINES,https://heroines.jp/,2026-08-26
アキシブproject,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
パラディーク,HEROINES,https://x.com/para_deeq,2026-08-26
パラディーク,HEROINES,https://playyte.com/,2026-08-26
パラディーク,HEROINES,https://heroines.jp/,2026-08-26
パラディーク,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
Ill,HEROINES,https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html,2026-08-26
Ill,HEROINES,https://x.com/Ill_Idol,2026-08-26
Ill,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
MISS MERCY,STARDUST,https://www.stardust.co.jp/talent/section1/missmercy/,2026-08-26
MISS MERCY,STARDUST,https://missmercy.jp/,2026-08-26
MISS MERCY,STARDUST,https://missmercy.jp/profile/,2026-08-26
テンシンランマン,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
テンシンランマン,HEROINES,https://heroines.jp/news/public/_/4rjh25e2l3cozyto.html,2026-08-26
ナナコロビヤオキ,HEROINES,https://x.com/nanakoro_info,2026-08-26
ナナコロビヤオキ,HEROINES,https://heroines.jp/,2026-08-26
ナナコロビヤオキ,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
ZUTTOMOTTO,HEROINES,https://x.com/zuttomoofficial,2026-08-26
ZUTTOMOTTO,HEROINES,https://heroines.jp/,2026-08-26
ZUTTOMOTTO,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
ハルカエコー,HEROINES,https://x.com/HARUKAECHO_IDOL,2026-08-26
ハルカエコー,HEROINES,https://heroines.jp/,2026-08-26
ハルカエコー,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
Pastel Closet,HEROINES,https://www.ameba.jp/profile/general/pastelcloset/,2026-08-26
Pastel Closet,HEROINES,https://x.com/Pasclo_official,2026-08-26
Pastel Closet,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
RE-GE,STARDUST,https://re-ge.com/,2026-08-26
RE-GE,STARDUST,https://x.com/rege__official,2026-08-26
RE-GE,STARDUST,https://www.stardust.co.jp/talent/,2026-08-26
パラレルサイダー,HEROINES,https://x.com/parasai_info,2026-08-26
パラレルサイダー,HEROINES,https://heroines.jp/,2026-08-26
パラレルサイダー,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
ポンコツコンポ,HEROINES,https://www.imaginate.jp/artist/,2026-08-26
ポンコツコンポ,HEROINES,https://x.com/ponkotsukonpo,2026-08-26
ポンコツコンポ,HEROINES,https://heroines.jp/,2026-08-26
ポンコツコンポ,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
CAL&RES,HEROINES,https://x.com/calresofficial,2026-08-26
CAL&RES,HEROINES,https://heroines.jp/,2026-08-26
CAL&RES,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
AMEFURASSHI,STARDUST,https://amefurasshi.jp/contents/1037857,2026-08-26
AMEFURASSHI,STARDUST,https://www.unext.co.jp/ja/press-room/amefurasshi-live-2026-02-24,2026-08-26
ukka,STARDUST,https://ukka.tokyo/news/4893,2026-08-26
ukka,STARDUST,https://ukka.tokyo/news/4965,2026-08-26
スタプラ研究生,STARDUST,https://blog.stardust.co.jp/stardustplanet/,2026-08-26
ヒロインズ研究生,HEROINES,https://www.youtube.com/watch?v=kvDavymoOf8,2026-08-26
ヒロインズ研究生,HEROINES,https://x.com/Heroines_RS,2026-08-26
ヒロインズ研究生,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
ヒロインズ研究生大阪,HEROINES,https://www.youtube.com/watch?v=yr-PEfFJ0r8,2026-08-26
ヒロインズ研究生大阪,HEROINES,https://x.com/Heroines_osaka,2026-08-26
ヒロインズ研究生大阪,HEROINES,https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
浪江女子発組合,STARDUST,https://www.town.namie.fukushima.jp/site/namie-chocho/43502.html,2026-08-26
浪江女子発組合,STARDUST,https://namietourism.jp/information/,2026-08-26
浪江女子発組合,STARDUST,https://lumiunion.com/,2026-08-26
