グループ名,勢力,デビュー日,公式HP,X,Instagram,TikTok,YouTube,所属・運営,プロジェクト,レーベル,ライブ規模・実績,現役メンバー数,現役メンバー,Power,Growth,Tier,評価根拠,検証状態,情報源,最終確認日
≒JOY,イコノイジョイ,2024-01-17,https://nearly-equal-joy.jp/,https://x.com/Nearlyequal_joy,未確認,https://www.tiktok.com/@nearlyequal_joy,https://www.youtube.com/channel/UC_qmQbqvW6UES3NT780l2Pg,代々木アニメーション学院,イコノイジョイ / 指原莉乃プロデュース,Sony Music Labels,日本武道館2公演（2026-03-13）→Kアリーナ横浜（2026-07-11、自身最大規模）→全国ツアー、TOYOTA ARENA TOKYO公演予定。,12,逢田珠里依 / 天野香乃愛 / 市原愛弓 / 江角怜音 / 大信田美月 / 大西葵 / 小澤愛実 / 髙橋舞 / 藤沢莉子 / 村山結香 / 山田杏佳 / 山野愛月,88,98,S,2026年に武道館2公演からKアリーナへ急拡大し、さらに全国ツアーとTOYOTA ARENA TOKYOへ進む。5thシングルの初週大規模セールスもあり、Growthは6組中最高の98。,verified,https://nearly-equal-joy.jp/ | https://nearly-equal-joy.jp/feature/profile | https://nearly-equal-joy.jp/feature/2026_budokan,2026-08-26
いぎなり東北産,STARDUST,2015-08,https://madeintohoku.com/,https://x.com/madeintohoku,https://www.instagram.com/the_made_in_tohoku/,https://www.tiktok.com/@the_made_in_tohoku,https://www.youtube.com/channel/UCuCBILJrBdU9bFEykEW0STA,スターダストプロモーション,STAR PLANET,avex trax,日本武道館単独公演（2025-07-09）。2025-08 avex traxメジャーデビュー後、全国規模で展開。,9,橘花怜 / 律月ひかる / 北美梨寧 / 安杜羽加 / 吉瀬真珠 / 桜ひなの / 藤谷美海 / 伊達花彩 / 葉月結菜,86,90,S,武道館からアリーナ2daysへ進む会場成長、avexメジャー展開、東北発IPを評価。,verified,https://madeintohoku.com/ | https://www.stardust.co.jp/talent/ | https://avexnet.jp/ | https://avexnet.jp/contents/IGNRT-WORK-0001/profile | https://www.stacommu.jp/ja/videos/episodes/6PnAVDLx6Zufqt9TMt93rp,2026-08-26
夜光性アミューズ,HEROINES,2021-04-17,https://www.yakousei-amuse.jp/,https://x.com/Yoruamiofficial,https://www.instagram.com/yoruami_official/,https://www.tiktok.com/@yoruami_official,https://www.youtube.com/channel/UCi-LfAyQYt0Eyjsqm8uff4w,株式会社imaginate,HEROINES,未確認（複数経路確認）,2026年Zepp Namba・Zepp Nagoya・Zepp DiverCity東名阪。新体制お披露目豊洲PIT、夏ツアー最終Kanadevia Hall。,8,みぽたぽた / 白空こあい / ふてこ / 炎谷莉奈 / 水萌しゅる / 心恋きゅん / 月祈まりあ / 琴音ふりる,83,78,A+,Zepp東名阪とKanadevia Hallを維持。新体制後も大型会場を継続。,verified,https://heroines.jp/news/public/_/upflkmy5vsc1xfkp.html | https://heroines.jp/news/public/_/lzfozenibr57qn99.html | https://heroines.jp/news/public/_/p9t1hvg2rdfgkq9e.html | https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
ドレスコード,HEROINES,2024-11-26,https://heroines.jp/,https://x.com/dreco_info,https://www.instagram.com/dresscode_info/,https://www.tiktok.com/@dresscode_info,https://www.youtube.com/channel/UCTJ2mxUxMAGtffKAPN7674Q,株式会社imaginate,HEROINES / 神楽ひなこプロデュース,未確認（複数経路確認）,2026年5都市ツアー。HEROINES LEAGUEⅠで豊洲PIT・Zepp Osaka Bayside・KT Zepp Yokohama。,7,百宮みも / 小鈴もゆ / 御伽りるむ / 月野あのん / 結音ちゆ / 早坂わむ / 秋田こまち,82,97,A+,デビュー約1年半で上位リーグとツアーへ。成長速度を特に高評価。,verified,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html | https://heroines.jp/news/public/_/4rjh25e2l3cozyto.html,2026-08-26
MEGAFON,HEROINES,2025-04-27,https://heroines.jp/,https://x.com/MEGAFON_idol,未確認,https://www.tiktok.com/@megafon_idol,未確認,株式会社imaginate,HEROINES / 向日えなプロデュース,未確認（複数経路確認）,1周年Zepp DiverCity。2026年10月から全国ツアー、12月22日Kanadevia Hall予定。,7,小晴のか / 星野あみ / 明音いろは / 羽雲ろこ / 日陽きい / 宮代ゆき / 琴音ふりる,80,96,A+,1年強でZepp→Kanadevia Hall計画。成長性が非常に強い。,verified,https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html | https://x.com/MEGAFON_idol | https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
iON!,HEROINES,2025-05-22,https://heroines.jp/,https://x.com/iON_idol_,未確認,https://www.tiktok.com/@ion_idol_,未確認,株式会社imaginate,HEROINES / iLiFE!妹ユニット,未確認（複数経路確認）,豊洲PIT級ワンマン実績、2026年Zepp5大都市ツアー、LEAGUEⅠ上位。,8,宇野ゆり / 花丸ぺこ / 鈴都りせ / 儚寧この / 伽久耶くらら / 栗栖むぎ / 名雲めんま / 透明くりあ,80,96,A+,2025デビューからZepp5都市へ急伸。iLiFE!妹ユニットIPも強い。,verified,https://heroines.jp/static/service/ | https://heroines.jp/news/public/_/o92mgh2lk7je6xzd.html | https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
ばってん少女隊,STARDUST,2015-06,https://battengirls.com/,https://x.com/battengirls_jp,https://www.instagram.com/battengirls_jp/,https://www.tiktok.com/@batten_official,https://www.youtube.com/@BATTENGIRLS,スターダストプロモーション,STAR PLANET,BATTEN Records,2026年11周年・立川ステージガーデン。2027年SGC HALL ARIAKE大型公演を発表。,7,希山愛 / 上田理子 / 春乃きいな / 蒼井りるあ / 柳美舞 / 逢里みう / 日南心那,79,82,A+,九州発IPと10年以上の継続、2026→27の会場拡大を評価。,verified,https://battengirls.com/ | https://www.stardust.co.jp/talent/ | https://www.youtube.com/@BATTENGIRLS,2026-08-26
フルコース,HEROINES,2026-02-27,https://fullcourse-fc.com/,https://x.com/FullCourse_idol,https://www.instagram.com/fullcourse_idol/,https://www.tiktok.com/@fullcourse_idol,https://www.youtube.com/@FullCourse_idol,株式会社TWIN PLANET × 株式会社imaginate,HEROINES,未確認（複数経路確認）,デビュー4か月でZepp Shinjuku 1stワンマン。2026年5都市FIRST TOUR、東京The Garden Hall。,7,阿部菜々実 / 桜咲みはね / 金城まき / 小葉こな / 鈴木遥夏 / 中川心 / 水上凜巳花,75,99,A,2026年2月デビューから4か月でZepp。38組でも最上位の成長速度。,verified,https://www.tp-e.jp/talent/fullcourse/ | https://twinplanet.co.jp/project/4872/ | https://www.tp-e.jp/news/fullcourse-jyoho/ | https://prtimes.jp/main/html/rd/p/000000926.000025517.html | https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
ラストシーン,HEROINES,2025-12-24,https://heroines.jp/,https://x.com/LASTSCENE_idol,未確認,未確認,未確認,株式会社imaginate,HEROINES,未確認（複数経路確認）,Kanadevia Hallでデビュー。2026年HEROINES LEAGUEⅠ上位に定着。,8,天羽しおり / 佑月いちか / 優木あずさ / 宮瀬うゆ / 古賀みれい / 水空ゆん / 綾乃もな / 椎名すず,73,97,A,Kanadevia Hallデビューから半年強で上位リーグ。初速が非常に強い。,verified,https://x.com/LASTSCENE_idol | https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html | https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
GILTY x GILTY,HEROINES,2022-06-28,https://giltyxgilty.com/,未確認,未確認,未確認,未確認,株式会社imaginate,HEROINES / 兼任ユニット,未確認（複数経路確認）,HEROINES主力5名の兼任ユニットとして周年・単独公演を継続。,5,蒼井叶 / 白雪姫乃 / 白空こあい / 恋星はるか / 心花りり,78,68,B+,5名全員の横断IPが強い。単体プロジェクトの成長は安定型。,verified,https://www.imaginate.jp/artist/ | https://heroines.jp/ | https://www.imaginate.jp/artist/gilty-x-gilty/ | https://heroines.jp/news/public/_/3yusahrqv36qk0xr.html,2026-08-26
i-COL,HEROINES,2021-06-05,https://www.imaginate.jp/artist/i-col/,未確認,未確認,未確認,未確認,株式会社imaginate,HEROINES / 兼任ユニット,未確認（複数経路確認）,2人組ユニットとして周年・単独公演を継続。両名の兼任先IPが強い。,2,あいす / こるね,77,62,B+,兼任先での知名度と継続を評価。単体の拡大は安定型。,verified,https://www.imaginate.jp/artist/i-col/ | https://heroines.jp/ | https://heroines.jp/news/public/_/3yusahrqv36qk0xr.html,2026-08-26
AdamLilith,HEROINES,2022-10-25,https://www.imaginate.jp/artist/adamlilith/,https://x.com/Adamth_official,https://www.instagram.com/adamlilith_official/,未確認,https://www.youtube.com/@adamlilith_official,株式会社imaginate,HEROINES,未確認（複数経路確認）,HEROINES LEAGUEⅠ上位常連。豊洲PIT・Zepp Osaka Bayside・KT Zepp Yokohamaなど大型合同公演。,4,夜宵やむ / 響羽凛瞳 / 都ユナ / 三木レイ,76,68,B+,上位リーグ継続と認知を評価。2026単独最大規模の一次根拠は継続監査。,verified,https://www.imaginate.jp/artist/adamlilith/ | https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html | https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
TENRIN,HEROINES,2020-07-21,https://heroines.jp/,https://x.com/TENRIN_official,https://www.instagram.com/tenrin_official/,https://www.tiktok.com/@tenrin_official,https://www.youtube.com/c/TENRINchannel,株式会社imaginate,HEROINES,CROSS SIDE MUSIC（初期作品／現行契約未確認）,HEROINES LEAGUEⅠで豊洲PIT・Zepp大阪・KT Zepp横浜。長期活動の中堅主力。,8,のもあちゃちゃ / 白洲あやん / 七瀬にこ / 蓮花うらら / 霞あげは / 甘音ゆあ / 刻乃なう / 音瀬歩兎,75,80,B+,継続力と上位リーグ安定出演、新体制更新を評価。,verified,https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html | https://x.com/TENRIN_official | https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
LADYBABY,HEROINES,2023,https://ladybaby-fc.com/,https://x.com/LADYBABY_JP,未確認,未確認,https://www.youtube.com/@ladybaby,HEROINES関連運営,HEROINES,未確認（複数経路確認）,HEROINES LEAGUEⅡ・FES。旧LADYBABYからの海外認知を持つ4人体制。,4,神黎ミア / 來崎せな / 月街えい / 越智きの,74,75,B+,ブランド認知をPowerに加点。現行体制は2023再始動として評価。,verified,https://x.com/LADYBABY_JP | https://heroines.jp/ | https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
chuLa,HEROINES,2017,https://heroines.jp/,https://x.com/chuLa_official,未確認,未確認,https://www.youtube.com/@chulayoutube,株式会社SCOT,HEROINES,未確認（複数経路確認）,HEROINES LEAGUEⅠのZepp級合同公演に継続出演。,7,明鏡みらの / はまちひよ / 茉野ゆに / 飴色りんご / 世野つばさ / 紫藤らら / 陽咲みお,74,72,B+,長期活動・認知と上位リーグ出演。大型単独の急伸は新興勢より緩やか。,verified,https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html | https://x.com/chuLa_official | https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
アキシブproject,HEROINES,2013-05,https://akishibup.net/,https://x.com/akishibuproject,未確認,未確認,未確認,株式会社imaginate,HEROINES,KING RECORDS（メジャーデビュー実績／現行契約未確認）,Zepp DiverCity等ワンマン歴。2026年はHEROINES LEAGUEⅡ・FES中心。,7,葵ふう / 如月なな / 清見るん / 茉井良菜 / 水琴まなみ / 夢咲ありさ / 天川ほたる,72,55,B+,長期ブランドと過去Zepp実績をPowerに反映。成熟期。,verified,https://akishibup.net/ | https://heroines.jp/ | https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
パラディーク,HEROINES,2021,https://heroines.jp/,https://x.com/para_deeq,未確認,未確認,未確認,PLAYYTE,HEROINES,未確認（複数経路確認）,2026年新9人体制でHEROINES FES／LEAGUEⅡへ。,9,水野めい / 来栖ゆる / 浜辺しずく / 新木るの / 灯田にじ / 桜空ちゅいん / 雛月ひな / 楪みかん / 氷雨ここな,72,84,B+,既存ブランド＋2026新9人体制の再成長。,verified,https://x.com/para_deeq | https://playyte.com/ | https://heroines.jp/ | https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
Ill,HEROINES,2024-12-23,https://heroines.jp/,https://x.com/Ill_Idol,未確認,未確認,未確認,株式会社imaginate,HEROINES,未確認（複数経路確認）,1周年期O-EAST級。LEAGUEⅠで豊洲PIT・Zepp Osaka Bayside・KT Zepp Yokohama。,4,蒼井叶 / 白雪姫乃 / 紫ノ色 / 森緑藻,71,78,B+,前身TwinpaleのIPとHEROINES上位公演を評価。,verified,https://heroines.jp/news/public/_/i5zkbvmqrmejr7gx.html | https://x.com/Ill_Idol | https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
MISS MERCY,STARDUST,2022-03,https://missmercy.jp/,https://x.com/_missmercy_,https://www.instagram.com/missmercy_official/,https://www.tiktok.com/@missmercy_official,https://www.youtube.com/@missmercy.official,スターダストプロモーション 第一事業部,スターダスト ガールズグループ,テイチクエンタテインメント,2026年7th ONEMAN LIVEをI'M A SHOWで開催。10月メジャーデビュー、11月東京キネマ倶楽部ワンマン。,7,MIYU / SARA / SHUKA / ION / YUKI / KAREN / COCONA,71,93,B+,2026年メジャーデビュー移行が大きな成長シグナル。会場規模は中堅。,verified,https://www.stardust.co.jp/talent/section1/missmercy/ | https://missmercy.jp/ | https://missmercy.jp/profile/,2026-08-26
テンシンランマン,HEROINES,2025-05-24,https://heroines.jp/,未確認,未確認,未確認,未確認,株式会社imaginate,HEROINES,未確認（複数経路確認）,2026年HEROINES LEAGUEⅠへ昇格、豊洲PIT・Zepp Osaka Bayside・KT Zepp Yokohama。,7,琴音うな / 小倉あずき / 味園そら / 織田こゆん / 海老原てん / 大須かのん / 豊田もも,69,92,B+,デビュー約1年で上位リーグへ昇格した速度を評価。,verified,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html | https://heroines.jp/news/public/_/4rjh25e2l3cozyto.html,2026-08-26
ナナコロビヤオキ,HEROINES,2024-07-12,https://heroines.jp/,https://x.com/nanakoro_info,未確認,未確認,未確認,株式会社imaginate,HEROINES,未確認（複数経路確認）,2026年Zepp Nagoya・Zepp Osaka Bayside・Zepp Shinjuku等へ拡大。,8,苺川えくぼ / 熊ノ実にも / 長居しいな / 水田茉莉 / 瀬戸内れもん / 阪菜りこ / 笑乃にな / 歌花てんか,69,93,B+,2年でZepp複数都市へ。2026年8月最新体制の伸びを高評価。,transition_verified,https://x.com/nanakoro_info | https://heroines.jp/ | https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
ZUTTOMOTTO,HEROINES,2023-02,https://heroines.jp/,https://x.com/zuttomoofficial,未確認,未確認,https://www.youtube.com/@zuttomotto_,株式会社imaginate,HEROINES,未確認（複数経路確認）,HEROINES LEAGUEⅡ・FES。2026年11名体制に拡張。,11,椎名すず / 真空せいら / 四宮える / 佐倉あん / 青羽わか / 望月みら / 小紅ゆず / 美雲みつき / 愛夏ひなた / 神谷ひなの / 式守くるみ,68,80,B+,体制拡張とHEROINES露出増を評価。,verified,https://x.com/zuttomoofficial | https://heroines.jp/ | https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
ハルカエコー,HEROINES,2026-04-19,https://heroines.jp/,https://x.com/HARUKAECHO_IDOL,未確認,https://www.tiktok.com/@harukaecho,未確認,株式会社imaginate,HEROINES / バグベアプロデュース,未確認（複数経路確認）,2026年4月デビュー直後からHEROINES LEAGUEⅡ・FES。単独規模は形成途中。,6,高坂りん / 平沢かえ / 雨宮るり / 神凪みふゆ / 常盤うた / 芦名ゆい,67,99,B+,発足直後の露出拡大と制作IPをGrowthに反映。,verified,https://x.com/HARUKAECHO_IDOL | https://heroines.jp/ | https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
Pastel Closet,HEROINES,2025-08-02,https://heroines.jp/,https://x.com/Pasclo_official,未確認,https://www.tiktok.com/@pasclo_official,https://www.youtube.com/@pasclo_official,アップダンス・エンターテインメント,TIF de Debut 2025 × HEROINES,未確認（複数経路確認）,デビュー1年未満でVeats Shibuyaワンマン。HEROINES LEAGUEⅡ・FES。,8,安斎みのり / 柑乃あい / 篠原さくら / 澄原夏帆 / 仁科美都 / 花木舞花 / 雛城ののか / 幸野れいあ,65,91,B+,TIFデビューから短期間で単独Veats Shibuyaへ。,verified,https://www.ameba.jp/profile/general/pastelcloset/ | https://x.com/Pasclo_official | https://heroines.jp/news/public/_/9vm3yfjqsoelnr16.html,2026-08-26
RE-GE,STARDUST,2026-02-15,https://re-ge.com/,https://x.com/rege__official,未確認,未確認,未確認,スターダストプロモーション × Bandai Namco Music Live,STAR PLANET / HAJIMARE Project,Bandai Namco Music Live / PYLON PORT展開（表記継続確認）,2026-02-15デビュー。豊洲PIT・Kanadevia Hall・TIF等に出演。単独大箱は形成途中。,9,白石るり / 禾本珠彩 / 花井心桜 / 高月凛々 / 田崎杏夏 / 森瀬こころ / 瑞川蒼依 / 桧山ゆうみ / 那須ほほみ,62,99,B+,デビュー半年でスタダ×バンナムの大型IP支援と主要イベント露出。単独動員は形成中。,verified,https://re-ge.com/ | https://x.com/rege__official | https://www.stardust.co.jp/talent/,2026-08-26
